2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.1000000PEIPEIUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.03736","close":"0.03734","high":"0.03741","low":"0.0372","volume":"83197","turnover":"3099.22124","confirm":false,"timestamp":1755710204935}],"ts":1755710204935,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.1000000PEIPEIUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.0372","close":"0.03734","high":"0.03734","low":"0.0372","volume":"542","turnover":"20.20433","confirm":false,"timestamp":1755710204935}],"ts":1755710204935,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.HYPERUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.3687","close":"0.3684","high":"0.3695","low":"0.3684","volume":"57189","turnover":"21098.4964","confirm":false,"timestamp":1755710204951}],"ts":1755710204951,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.HYPERUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.3687","close":"0.3684","high":"0.3695","low":"0.3684","volume":"57189","turnover":"21098.4964","confirm":false,"timestamp":1755710204951}],"ts":1755710204951,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.HYPERUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.3692","close":"0.3684","high":"0.3695","low":"0.3684","volume":"33184","turnover":"12245.8988","confirm":false,"timestamp":1755710204951}],"ts":1755710204951,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.THEUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.4037","close":"0.4039","high":"0.4041","low":"0.4037","volume":"186","turnover":"75.1438","confirm":false,"timestamp":1755710204968}],"ts":1755710204968,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.THEUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.403","close":"0.4039","high":"0.4041","low":"0.403","volume":"1351","turnover":"544.9955","confirm":false,"timestamp":1755710204968}],"ts":1755710204968,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.THEUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.403","close":"0.4039","high":"0.4041","low":"0.403","volume":"1351","turnover":"544.9955","confirm":false,"timestamp":1755710204968}],"ts":1755710204968,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.BNBUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"843.2","close":"843.7","high":"844.2","low":"843.1","volume":"136.99","turnover":"115579.559","confirm":false,"timestamp":1755710205009}],"ts":1755710205009,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.BNBUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"843.2","close":"843.7","high":"844.2","low":"843.1","volume":"136.99","turnover":"115579.559","confirm":false,"timestamp":1755710205010}],"ts":1755710205010,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.BNBUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"843.6","close":"843.7","high":"844.2","low":"843.5","volume":"85.77","turnover":"72382.756","confirm":false,"timestamp":1755710205010}],"ts":1755710205010,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.BIOUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.14653","close":"0.14733","high":"0.1476","low":"0.14639","volume":"1973704","turnover":"290230.42544","confirm":false,"timestamp":1755710205020}],"ts":1755710205020,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.BIOUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.14716","close":"0.14733","high":"0.1476","low":"0.14682","volume":"906795","turnover":"133599.18319","confirm":false,"timestamp":1755710205020}],"ts":1755710205020,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.BIOUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.14653","close":"0.14733","high":"0.1476","low":"0.14639","volume":"1973704","turnover":"290230.42544","confirm":false,"timestamp":1755710205021}],"ts":1755710205021,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.SWELLUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.01054","close":"0.01054","high":"0.01054","low":"0.01054","volume":"0","turnover":"0","confirm":false,"timestamp":1755710205028}],"ts":1755710205028,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.SWELLUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.01053","close":"0.01054","high":"0.01054","low":"0.01053","volume":"7020","turnover":"73.9908","confirm":false,"timestamp":1755710205029}],"ts":1755710205029,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.SWELLUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.01053","close":"0.01054","high":"0.01054","low":"0.01053","volume":"7020","turnover":"73.9908","confirm":false,"timestamp":1755710205029}],"ts":1755710205029,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.1000PEPEUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.010538","close":"0.010538","high":"0.010546","low":"0.010536","volume":"3512500","turnover":"37014.3771","confirm":false,"timestamp":1755710205032}],"ts":1755710205032,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.1000PEPEUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.010525","close":"0.010538","high":"0.010546","low":"0.010522","volume":"7889500","turnover":"83105.991","confirm":false,"timestamp":1755710205033}],"ts":1755710205033,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.1000PEPEUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.010525","close":"0.010538","high":"0.010546","low":"0.010522","volume":"7889500","turnover":"83105.991","confirm":false,"timestamp":1755710205033}],"ts":1755710205033,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.ZROUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"2.029","close":"2.0292","high":"2.0309","low":"2.0264","volume":"7032.3","turnover":"14268.87553","confirm":false,"timestamp":1755710205045}],"ts":1755710205045,"type":"snapshot"}
